company,symbol,stock,exercise-price,warrant,leverage,expiry-date,price-time-gain
Acasta Enterprises Inc,AEF.WT,8.75,11.5,1.2,7.3,03/01/2022,0.02
Kew Media Group Inc,KEW.WT,9.85,11.5,1.67,5.9,13/06/2023,0.01
Manitok Energy Inc,MEI.WT,0.115,0.18,0.025,4.6,15/11/2021,0.03
Osisko Gold Royalties Ltd,OR.WT,14.26,36.5,2.4,5.9,18/02/2022,0.09
Titan Medical Inc,TMD.WT.G,0.353,1.0,0.03,11.8,12/02/2021,0.14
Titan Medical Inc,TMD.WT.H,0.353,1.2,0.035,10.1,31/03/2021,0.18
Titan Medical Inc,TMD.WT.I,0.353,0.75,0.06,5.9,20/09/2021,0.07
Trilogy Intl Partners Inc,TRL.WT,9.5,11.5,0.5,19.0,07/02/2022,0.01
